ID;0;1;2;3
T1547.010;Persistence; Privilege Escalation;;
T1547.011;Persistence; Privilege Escalation;;
T1547.008;Persistence; Privilege Escalation;;
T1547.006;Persistence; Privilege Escalation;;
T1547.002;Persistence; Privilege Escalation;;
T1546.010;Persistence; Privilege Escalation;;
T1547.009;Persistence; Privilege Escalation;;
T1547.013;Persistence; Privilege Escalation;;
T1546.012;Persistence; Privilege Escalation;;
T1546;Persistence; Privilege Escalation;;
T1546.006;Persistence; Privilege Escalation;;
T1037.005;Persistence; Privilege Escalation;;
T1037.004;Persistence; Privilege Escalation;;
T1546.007;Persistence; Privilege Escalation;;
T1546.013;Persistence; Privilege Escalation;;
T1543.003;Persistence; Privilege Escalation;;
T1543.002;Persistence; Privilege Escalation;;
T1543.004;Persistence; Privilege Escalation;;
T1037;Persistence; Privilege Escalation;;
T1546.005;Persistence; Privilege Escalation;;
T1543.001;Persistence; Privilege Escalation;;
T1543;Persistence; Privilege Escalation;;
T1037.003;Persistence; Privilege Escalation;;
T1546.002;Persistence; Privilege Escalation;;
T1037.002;Persistence; Privilege Escalation;;
T1037.001;Persistence; Privilege Escalation;;
T1611;Privilege Escalation;;;
T1068;Privilege Escalation;;;
T1592;Reconnaissance;;;
T1590;Reconnaissance;;;
T1591.004;Reconnaissance;;;
T1591.003;Reconnaissance;;;
T1591.001;Reconnaissance;;;
T1591.002;Reconnaissance;;;
T1591;Reconnaissance;;;
T1590.003;Reconnaissance;;;
T1590.004;Reconnaissance;;;
T1589.003;Reconnaissance;;;
T1589.002;Reconnaissance;;;
T1589.001;Reconnaissance;;;
T1589;Reconnaissance;;;
T1592.002;Reconnaissance;;;
T1590.005;Reconnaissance;;;
T1592.001;Reconnaissance;;;
T1590.001;Reconnaissance;;;
T1592.003;Reconnaissance;;;
T1592.004;Reconnaissance;;;
T1590.002;Reconnaissance;;;
T1590.006;Reconnaissance;;;
T1594;Reconnaissance;;;
T1598.003;Reconnaissance;;;
T1593;Reconnaissance;;;
T1598;Reconnaissance;;;
T1597;Reconnaissance;;;
T1597.002;Reconnaissance;;;
T1597.001;Reconnaissance;;;
T1596;Reconnaissance;;;
T1596.004;Reconnaissance;;;
T1596.001;Reconnaissance;;;
T1596.003;Reconnaissance;;;
T1596.005;Reconnaissance;;;
T1596.002;Reconnaissance;;;
T1598.002;Reconnaissance;;;
T1593.002;Reconnaissance;;;
T1593.001;Reconnaissance;;;
T1598.001;Reconnaissance;;;
T1595;Reconnaissance;;;
T1595.002;Reconnaissance;;;
T1595.001;Reconnaissance;;;
T1586.002;Resource Development;;;
T1588.006;Resource Development;;;
T1588.002;Resource Development;;;
T1588.001;Resource Development;;;
T1588.005;Resource Development;;;
T1588.004;Resource Development;;;
T1586;Resource Development;;;
T1588;Resource Development;;;
T1588.003;Resource Development;;;
T1584.005;Resource Development;;;
T1584.002;Resource Development;;;
T1584.001;Resource Development;;;
T1584.004;Resource Development;;;
T1584.003;Resource Development;;;
T1584.006;Resource Development;;;
T1584;Resource Development;;;
T1583.001;Resource Development;;;
T1585.001;Resource Development;;;
T1587.002;Resource Development;;;
T1583.004;Resource Development;;;
T1583.003;Resource Development;;;
T1583.006;Resource Development;;;
T1608.002;Resource Development;;;
T1608.001;Resource Development;;;
T1608.005;Resource Development;;;
T1608.003;Resource Development;;;
T1583.005;Resource Development;;;
T1583;Resource Development;;;
T1608.004;Resource Development;;;
T1608;Resource Development;;;
T1583.002;Resource Development;;;
T1585.002;Resource Development;;;
T1585;Resource Development;;;
T1587.001;Resource Development;;;
T1587.004;Resource Development;;;
T1587.003;Resource Development;;;
T1587;Resource Development;;;
T1586.001;Resource Development;;;
